,batch,file_name,embed_code,video_title,description,interest,alarm,confusion,understanding,frustration,relief,sorrow,joy,anger,gratitude,fear,hope,boredom,surprise,disgust,desire
0,2,anim_pyramid_reacttocube_frustrated_low_01.avi,BmFbgaS-WzI,0,"The robot considered something, then it registered a reaction with eyes like this: O.o and a surprised or disguested sound.",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,anim_pyramid_lookinplaceforfaces_short_head_angle_40.avi,Dszbqad3k6g,1,The robot raised its head vertically.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,anim_pyramid_lookinplaceforfaces_short_head_angle_-20.avi,nCvjY75rlsI,2,The robot appears tucked in and lowered it's head.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,2,anim_pyramid_lookinplaceforfaces_medium_head_angle_40.avi,2D2gKtavxKE,3,The robot appeared to sleep with squinky eyes then raised its head with wide open eyes then closed them agai.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2,anim_pyramid_lookinplaceforfaces_medium_head_angle_-20.avi,I4jM0nl9Ak0,4,Robot lowered it's head and appeared dejected.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,2,anim_pyramid_lookinplaceforfaces_long_head_angle_20.avi,OHL1hl1tgK0,5,The robot appears to be woken up from sleeping,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,anim_pyramid_lookinplaceforfaces_long_head_angle_20.avi,OHL1hl1tgK0,5,Robot was drowsing then raised its head and looked bak and forth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,anim_pounce_success_04.avi,iuNiZ-Nmz-E,6,The robot appears to be waving around with joy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,2,anim_pounce_success_04.avi,iuNiZ-Nmz-E,6,"Robot feinted forward, shook its arms, and made a chattering sounds.",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
9,2,anim_pounce_success_02.avi,4QDnynHITcY,7,The robot blinks and backs up,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10,2,anim_pounce_success_02.avi,4QDnynHITcY,7,robot recoiled and made a surprised sound,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
11,2,anim_pounce_reacttoobj_01_shorter.avi,FbWLP685aBg,8,The robot stomps and looks at the ground,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
12,2,anim_pounce_reacttoobj_01_shorter.avi,FbWLP685aBg,8,lowered it's head and made puppy dog eyes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,anim_pounce_lookloop_02.avi,DG2gkRAnqOw,9,The robot seems to fall asleep,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,2,anim_pounce_lookloop_02.avi,DG2gkRAnqOw,9,robot squinted it's eyes and looked aqround.  appeared suspicous.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2,anim_pounce_lookgetout_01.avi,CbNs0ie_3Ug,10,The robot perks its head up and moves back as if taken aback. Their eyes seem to widen and staring at something off camera.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,2,anim_pounce_lookgetout_01.avi,CbNs0ie_3Ug,10,"It seems shocked, and taken back",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,anim_pounce_fail_04.avi,9nMC4vweHQg,11,"The robot moves forward, as if looking at something, then revolts back to its original location. Their eyes show a sort of confused look.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
18,2,anim_pounce_fail_04.avi,9nMC4vweHQg,11,It seems interested in something!,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,anim_pounce_fail_02.avi,PnsGsBGJPOM,12,"The robot tilts its head up and down, as if looking at something from head to toe. Their eyes narrow upon fully looking at the unknown object",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,2,anim_pounce_fail_02.avi,PnsGsBGJPOM,12,"It seems almost alarmed, and interested in something that happened.",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,2,anim_pounce_drive_01.avi,DvJw0QAFsgc,13,The robot lowers its head.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,2,anim_pounce_drive_01.avi,DvJw0QAFsgc,13,It seems sad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,2,anim_pounce_01.avi,GzI6Ys9Kt8A,14,"The robot seems to jolt awake, moving forward a little in process and lifting their arms halfway.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
