clip_name,verdict,reason_tags,note,reviewed_at,run_reviewed,mapping_version_reviewed
anim_bored_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bored_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bored_event_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bored_event_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bored_event_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bored_event_04,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bored_getout_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bored_getout_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bouncer_getin_01,keep,,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_bouncer_getout_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bouncer_ideatoplay_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bouncer_intoscore_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bouncer_intoscore_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bouncer_intoscore_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bouncer_requesttoplay_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bouncer_rerequest_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bouncer_timeout_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_bouncer_wait_01,drop,source-static,auto: near-static (max joint range < 0.05 rad),2026-08-04T16:56:48,v1.3,1.3
anim_bouncer_wait_02,drop,source-static,auto: near-static (max joint range < 0.05 rad),2026-08-04T16:56:48,v1.3,1.3
anim_bouncer_wait_03,drop,source-static,auto: near-static (max joint range < 0.05 rad),2026-08-04T16:56:48,v1.3,1.3
anim_codelab_123go,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_bored_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_chicken_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_chicken_01_head_angle_-20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_chicken_01_head_angle_20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_chicken_01_head_angle_40,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
