clip_name,run,mapping_version,constants_sha1,T,dur_s,sat_j1,sat_j2,sat_j3,sat_j4,sat_j5,sat_max,rate_cap_frac,max_rate,jerk_rms,range_max_rad,light_range,light_step_per_s,light_max_step,r_head,r_lift,r_yaw,dyn_rms_deg,dyn_max_deg,flags,severity
anim_bored_01,v1.0-baseline,1.0,678e3a5a74fe,34,1.089,0,0,0,0,0,0,0.151515,4,41276.9,0.818237,0.717752,0,0.138721,0.960179,0.957714,,6.62359,15.2969,RATE;DYN,31.061
anim_bored_02,v1.0-baseline,1.0,678e3a5a74fe,41,1.32,0,0,0,0,0,0,0,3.74577,13009.8,0.692961,0.927773,0.757576,0.405539,0.996112,0.71105,,,,,0
anim_bored_event_01,v1.0-baseline,1.0,678e3a5a74fe,199,6.534,0,0,0,0,0,0,0.0252525,4,15007.3,0.94768,0.760938,0.306091,0.752003,0.991019,0.668151,0.944986,,,,1.01
anim_bored_event_02,v1.0-baseline,1.0,678e3a5a74fe,151,4.95,0,0,0.00662252,0,0,0.00662252,0.0466667,4,28158.7,0.891055,0,0,0,0.991745,0.542356,0.99872,,,,2.529
anim_bored_event_03,v1.0-baseline,1.0,678e3a5a74fe,314,10.329,0,0,0,0,0,0,0.0383387,4,26986.4,0.982725,0.922885,0.484074,0.735422,0.973573,0.0740897,0.941568,,,LOWCORR,16.534
anim_bored_event_04,v1.0-baseline,1.0,678e3a5a74fe,369,12.144,0,0,0,0,0,0,0.076087,4,35079.2,1.12619,0,0,0,0.974328,0.420061,0.874331,,,RATE,3.043
anim_bored_getout_01,v1.0-baseline,1.0,678e3a5a74fe,45,1.452,0,0,0,0,0,0,0.136364,4,18695.4,0.989342,0.783178,0.688705,0.301833,0.968154,,,,,RATE,5.455
anim_bored_getout_02,v1.0-baseline,1.0,678e3a5a74fe,41,1.32,0,0,0,0,0,0,0.05,4,31855.3,0.472019,0.744099,1.51515,0.363305,0.945433,0.0570469,,,,LOWCORR;FLICKER,27
anim_bouncer_getin_01,v1.0-baseline,1.0,678e3a5a74fe,161,5.28,0,0,0,0,0,0,0,0.826602,2655.68,0.074049,0.797037,0.189394,0.361001,,,,,,,0
anim_bouncer_getout_01,v1.0-baseline,1.0,678e3a5a74fe,81,2.64,0,0,0,0,0,0,0.075,4,16223.1,0.968131,0.0800376,0,0.0800376,0.685815,,0.999297,,,RATE,3
