clip_name,run,mapping_version,constants_sha1,T,dur_s,sat_j1,sat_j2,sat_j3,sat_j4,sat_j5,sat_max,rate_cap_frac,max_rate,jerk_rms,range_max_rad,light_range,light_step_per_s,light_max_step,r_head,r_lift,r_yaw,dyn_rms_deg,dyn_max_deg,flags,severity
anim_bored_01,v1.3,1.3,a49d0111c5bb,34,1.089,0,0,0,0,0,0,0.272727,1.8,6581.47,0.779999,0.608947,0,0.0264,0.911554,0.927936,,3.01207,7.08647,RATE;DYN,35.909
anim_bored_02,v1.3,1.3,a49d0111c5bb,41,1.32,0,0,0,0,0,0,0.125,1.8,2934.95,0.691263,0.612145,0,0.0264,0.98025,0.762862,,,,RATE,5
anim_bored_event_01,v1.3,1.3,a49d0111c5bb,199,6.534,0,0,0,0,0,0,0.111111,1.8,4542.57,0.903556,0.325072,0,0.0253339,0.985192,0.669335,0.943687,,,RATE,4.444
anim_bored_event_02,v1.3,1.3,a49d0111c5bb,151,4.95,0,0,0,0,0,0,0.133333,1.8,4736.02,0.861105,0,0,0,0.97903,0.517539,0.99768,,,RATE,5.333
anim_bored_event_03,v1.3,1.3,a49d0111c5bb,314,10.329,0,0,0,0,0,0,0.115016,1.8,4625.06,0.997205,0.570376,0,0.0264,0.959435,0.0372389,0.934126,,,RATE;LOWCORR,19.601
anim_bored_event_04,v1.3,1.3,a49d0111c5bb,369,12.144,0,0,0,0,0,0,0.0815217,1.8,5496.97,1.04121,0,0,0,0.953755,0.334569,0.757663,,,RATE,3.261
anim_bored_getout_01,v1.3,1.3,a49d0111c5bb,45,1.452,0,0,0,0,0,0,0.386364,1.8,7388.69,0.914075,0.619925,0,0.0264,0.7824,,,,,RATE,15.455
anim_bored_getout_02,v1.3,1.3,a49d0111c5bb,41,1.32,0,0,0,0,0,0,0,1.20897,3946.52,0.407437,0.337327,0,0.0216282,0.931185,0.0209078,,,,LOWCORR,15
anim_bouncer_getin_01,v1.3,1.3,a49d0111c5bb,161,5.28,0,0,0,0,0,0,0,0.550856,316.202,0.0681888,0.664507,0,0.0264,,,,,,,0
anim_bouncer_getout_01,v1.3,1.3,a49d0111c5bb,81,2.64,0,0,0,0,0,0,0.25,1.8,5983.45,0.969778,0.0235286,0,0.00372922,0.77469,,0.975555,,,RATE,10
anim_bouncer_ideatoplay_01,v1.3,1.3,a49d0111c5bb,41,1.32,0,0,0,0,0,0,0.15,1.8,4240.87,0.581694,0,0,0,0.918087,-0.147252,0.991911,,,RATE;LOWCORR,21
anim_bouncer_intoscore_01,v1.3,1.3,a49d0111c5bb,90,2.937,0,0,0,0,0,0,0.168539,1.8,5742.24,0.860352,0.0415416,0,0.00312549,0.956202,,,,,RATE,6.742
anim_bouncer_intoscore_02,v1.3,1.3,a49d0111c5bb,121,3.96,0,0,0,0,0,0,0.266667,1.8,7013.13,0.947489,0.552936,0,0.0264,0.948615,0.653495,,,,RATE,10.667
anim_bouncer_intoscore_03,v1.3,1.3,a49d0111c5bb,251,8.25,0,0,0,0,0,0,0.044,1.8,3023.87,0.925377,0.0832232,0,0.00586796,0.974111,,,,,,1.76
anim_bouncer_requesttoplay_01,v1.3,1.3,a49d0111c5bb,101,3.3,0,0,0,0,0,0,0.1,1.8,4303.36,0.537502,0.542343,0,0.0264,0.109218,0.983332,0.919848,,,RATE;LOWCORR,19
anim_bouncer_rerequest_01,v1.3,1.3,a49d0111c5bb,101,3.3,0,0,0,0,0,0,0.1,1.8,4303.36,0.537502,0.54307,0,0.0264,0.109218,0.983332,0.919848,,,RATE;LOWCORR,19
