clip_name,run,mapping_version,constants_sha1,T,dur_s,sat_j1,sat_j2,sat_j3,sat_j4,sat_j5,sat_max,rate_cap_frac,max_rate,jerk_rms,range_max_rad,light_range,light_step_per_s,light_max_step,r_head,r_lift,r_yaw,dyn_rms_deg,dyn_max_deg,flags,severity
anim_bored_01,v1.1,1.1,2fa8bc4f5012,34,1.089,0,0,0,0,0,0,0.121212,4,41633.7,0.818237,0.585221,0,0.066,0.956826,0.957427,,6.62352,15.0251,RATE;DYN,29.848
anim_bored_02,v1.1,1.1,2fa8bc4f5012,41,1.32,0,0,0,0,0,0,0,3.74577,13009.8,0.692961,0.685479,0,0.066,0.996112,0.71105,,,,,0
anim_bored_event_01,v1.1,1.1,2fa8bc4f5012,199,6.534,0,0,0,0,0,0,0.0252525,4,15006.3,0.94768,0.428841,0,0.066,0.99102,0.668145,0.944986,,,,1.01
anim_bored_event_02,v1.1,1.1,2fa8bc4f5012,151,4.95,0,0,0.00662252,0,0,0.00662252,0.04,4,27554.4,0.891055,0,0,0,0.993198,0.542356,0.99872,,,,2.262
anim_bored_event_03,v1.1,1.1,2fa8bc4f5012,314,10.329,0,0,0,0,0,0,0.0319489,4,26370.2,0.982725,0.651423,0,0.066,0.973079,0.074112,0.941582,,,LOWCORR,16.278
anim_bored_event_04,v1.1,1.1,2fa8bc4f5012,369,12.144,0,0,0,0,0,0,0.0679348,4,27157.3,1.12619,0,0,0,0.966578,0.421116,0.798378,,,RATE,2.717
anim_bored_getout_01,v1.1,1.1,2fa8bc4f5012,45,1.452,0,0,0,0,0,0,0.136364,4,18695.4,0.989342,0.665701,0,0.066,0.968154,,,,,RATE,5.455
anim_bored_getout_02,v1.1,1.1,2fa8bc4f5012,41,1.32,0,0,0,0,0,0,0.05,4,33126.5,0.472019,0.585529,0,0.066,0.935321,0.0820551,,,,LOWCORR,17
anim_bouncer_getin_01,v1.1,1.1,2fa8bc4f5012,161,5.28,0,0,0,0,0,0,0,0.826602,2655.68,0.074049,0.666042,0,0.066,,,,,,,0
anim_bouncer_getout_01,v1.1,1.1,2fa8bc4f5012,81,2.64,0,0,0,0,0,0,0.075,4,16223.1,0.968131,0.066,0,0.066,0.685815,,0.999297,,,RATE,3
anim_bouncer_ideatoplay_01,v1.1,1.1,2fa8bc4f5012,41,1.32,0,0,0,0,0,0,0,3.16276,15266.5,0.566783,0,0,0,0.886773,-0.0376155,0.99947,,,LOWCORR,15
anim_bouncer_intoscore_01,v1.1,1.1,2fa8bc4f5012,90,2.937,0,0,0,0,0,0,0.0224719,4,13161.7,0.92664,0.0763726,0,0.066,0.981251,,,,,,0.899
anim_bouncer_intoscore_02,v1.1,1.1,2fa8bc4f5012,121,3.96,0,0,0,0,0,0,0.0916667,4,31997.2,1.01229,0.543008,0,0.066,0.965188,0.686459,,,,RATE,3.667
anim_bouncer_intoscore_03,v1.1,1.1,2fa8bc4f5012,251,8.25,0,0,0,0,0,0,0,3.97619,5650.06,0.995727,0.0805116,0,0.066,0.977531,,,,,,0
anim_bouncer_requesttoplay_01,v1.1,1.1,2fa8bc4f5012,101,3.3,0,0,0,0,0,0,0,3.01134,15312.6,0.600892,0.511696,0,0.066,0.132335,0.997535,0.998739,,,LOWCORR,15
anim_bouncer_rerequest_01,v1.1,1.1,2fa8bc4f5012,101,3.3,0,0,0,0,0,0,0,3.01134,15312.6,0.600892,0.511696,0,0.066,0.132335,0.997535,0.998739,,,LOWCORR,15
anim_bouncer_timeout_01,v1.1,1.1,2fa8bc4f5012,76,2.475,0,0,0,0,0,0,0.08,4,14877.5,1.03772,0.472505,0,0.066,0.774152,0.831965,0.975171,,,RATE,3.2
anim_bouncer_wait_01,v1.1,1.1,2fa8bc4f5012,101,3.3,0,0,0,0,0,0,0,0.0433525,103.141,0.00391332,0.0143443,0,0.0143443,,,,,,STATIC,50
anim_bouncer_wait_02,v1.1,1.1,2fa8bc4f5012,101,3.3,0,0,0,0,0,0,0,0.0413439,121.068,0.00373232,0.00461853,0,0.00461853,,,,2.31479,2.82642,STATIC,50
anim_bouncer_wait_03,v1.1,1.1,2fa8bc4f5012,101,3.3,0,0,0,0,0,0,0,0.869599,3100.9,0.0670595,0.0220715,0,0.0220715,,,,,,,0
anim_codelab_123go,v1.1,1.1,2fa8bc4f5012,99,3.234,0,0,0,0,0,0,0.0612245,4,31151.5,1.05889,0.0805116,0,0.066,0.975015,0.914519,0.992291,,,RATE,2.449
anim_codelab_bored_01,v1.1,1.1,2fa8bc4f5012,198,6.501,0,0,0,0,0,0,0.0253807,4,15044.7,0.94768,0.428841,0,0.066,0.990869,0.66041,0.944143,,,,1.015
anim_codelab_chicken_01,v1.1,1.1,2fa8bc4f5012,95,3.102,0,0,0,0,0,0,0.138298,4,54141.7,1.06908,2.37823e-05,0,1.43647e-05,0.965239,0.680781,0.89986,,,RATE,5.532
anim_codelab_chicken_01_head_angle_-20,v1.1,1.1,2fa8bc4f5012,95,3.102,0,0,0,0,0,0,0.159574,4,52321.4,1.06908,2.37823e-05,0,1.43647e-05,0.963263,0.168562,0.89986,,,RATE;LOWCORR,21.383
anim_codelab_chicken_01_head_angle_20,v1.1,1.1,2fa8bc4f5012,95,3.102,0,0,0,0,0,0,0.159574,4,55464.2,1.06908,2.37823e-05,0,1.43647e-05,0.977446,0.792089,0.89986,,,RATE,6.383
anim_codelab_chicken_01_head_angle_40,v1.1,1.1,2fa8bc4f5012,95,3.102,0,0,0,0,0,0,0.12766,4,54732.4,1.06908,2.37823e-05,0,1.43647e-05,0.977137,0.792089,0.89986,,,RATE,5.106
anim_codelab_cow_01_head_angle_-20,v1.1,1.1,2fa8bc4f5012,321,10.56,0,0,0,0,0,0,0.1125,4,35416.5,1.05646,0.610668,0,0.066,0.977082,0.00825048,0.66823,,,RATE;LOWCORR,19.5
anim_codelab_cow_01_head_angle_20,v1.1,1.1,2fa8bc4f5012,321,10.56,0,0,0,0,0,0,0.11875,4,34301.3,1.11542,0.610668,0,0.066,0.985124,0.0615303,0.66823,,,RATE;LOWCORR,19.75
anim_codelab_cow_01_head_angle_40,v1.1,1.1,2fa8bc4f5012,321,10.56,0,0,0,0,0,0,0.121875,4,33960.1,1.11542,0.610668,0,0.066,0.985344,0.0579659,0.66823,,,RATE;LOWCORR,19.875
anim_codelab_cubetap,v1.1,1.1,2fa8bc4f5012,9,0.264,0,0,0,0,0,0,0.625,4,91960.6,0.518673,0,0,0,0.759293,0.203799,,,,TINY;SHORT;RATE;LOWCORR,60
anim_codelab_duck_01,v1.1,1.1,2fa8bc4f5012,189,6.204,0,0,0,0,0,0,0.12234,4,48932,1.534,0.466636,0,0.066,0.74609,0.972184,0.7431,,,RATE,4.894
anim_codelab_elephant_01,v1.1,1.1,2fa8bc4f5012,111,3.63,0,0,0,0,0,0,0.181818,4,38706.9,1.25711,0.0805116,0,0.066,0.792461,0.972564,0.924185,,,RATE,7.273
anim_codelab_frightenedcozmo_01,v1.1,1.1,2fa8bc4f5012,101,3.3,0,0,0,0,0,0,0.01,4,21430,0.417591,0.0741767,0,0.066,0.966152,0.952867,,,,,0.4
anim_codelab_frog_01,v1.1,1.1,2fa8bc4f5012,46,1.485,0,0,0,0,0,0,0.0666667,4,36295.5,0.628181,0.0805116,0,0.066,0.950159,0.224528,,,,RATE;LOWCORR,17.667
anim_codelab_getin_01,v1.1,1.1,2fa8bc4f5012,133,4.356,0,0,0,0,0,0,0,3.63733,14079.4,0.689083,0.133079,0,0.0515541,0.981219,0.604483,,,,,0
anim_codelab_getout_01,v1.1,1.1,2fa8bc4f5012,63,2.046,0,0,0,0,0,0,0.0967742,4,35392.2,1.03409,0.0990281,0,0.066,0.958006,0.103023,0.974291,,,RATE;LOWCORR,18.871
anim_codelab_ghoulish_creeping_01,v1.1,1.1,2fa8bc4f5012,66,2.145,0,0,0,0,0,0,0,2.57456,11575.4,0.513571,0.382978,0,0.066,0.99306,0.319138,,3.13169,7.44303,DYN,25
anim_codelab_kitchen_eating_01,v1.1,1.1,2fa8bc4f5012,131,4.29,0,0,0,0,0,0,0,3.89833,24064.4,0.771429,0.287676,0,0.066,0.963426,0.922657,0.971953,,,,0
anim_codelab_kitchen_yucky_01,v1.1,1.1,2fa8bc4f5012,74,2.409,0,0,0,0,0,0,0.315068,4,54786.6,1.53203,0.660889,0,0.066,0.9035,0.760812,0.91267,,,RATE,12.603
anim_codelab_lightshow_idle,v1.1,1.1,2fa8bc4f5012,304,9.999,0,0,0,0,0,0,0.135314,4,24835.5,1.4028,0.561071,0,0.066,0.967947,0.928633,0.975883,,,RATE,5.413
anim_codelab_magicfortuneteller_inquistive,v1.1,1.1,2fa8bc4f5012,102,3.333,0,0,0,0,0,0,0.049505,4,18744.1,0.956672,0.0371932,0,0.0358276,0.91917,0.989043,,,,,1.98
anim_codelab_rooster_01_head_angle_20,v1.1,1.1,2fa8bc4f5012,77,2.508,0,0,0,0,0,0,0.105263,4,29094,0.861264,0.407011,0,0.066,0.975615,0.373763,,,,RATE,4.211
anim_codelab_rooster_01_head_angle_40,v1.1,1.1,2fa8bc4f5012,77,2.508,0,0,0,0,0,0,0.105263,4,28984.9,0.859933,0.407011,0,0.066,0.9768,0.373763,,,,RATE,4.211
anim_codelab_scarycozmo_01,v1.1,1.1,2fa8bc4f5012,53,1.716,0,0,0,0,0,0,0,2.06587,9775.8,0.221557,0.603879,0,0.066,0.874006,-0.414156,,,,LOWCORR,15
anim_codelab_sheep_01,v1.1,1.1,2fa8bc4f5012,131,4.29,0,0,0,0,0,0,0,3.96523,11180.6,0.682308,0.0805116,0,0.066,0.998625,,,,,,0
anim_codelab_staring_loop,v1.1,1.1,2fa8bc4f5012,161,5.28,0,0,0,0,0,0,0,0.621517,1680.4,0.0548502,0.372911,0,0.066,,,,,,,0
anim_codelab_tiger_01_head_angle_-20,v1.1,1.1,2fa8bc4f5012,257,8.448,0,0,0,0,0,0,0.152344,4,37019.8,1.03188,0.610668,0,0.066,0.964711,-0.0734057,0.866194,,,RATE;LOWCORR,21.094
anim_codelab_tiger_01_head_angle_20,v1.1,1.1,2fa8bc4f5012,257,8.448,0,0,0,0,0,0,0.132812,4,34144.7,1.03188,0.610668,0,0.066,0.981655,0.26729,0.866194,,,RATE;LOWCORR,20.312
anim_codelab_tiger_01_head_angle_40,v1.1,1.1,2fa8bc4f5012,257,8.448,0,0,0,0,0,0,0.117188,4,34013.2,1.03188,0.610668,0,0.066,0.98239,0.26729,0.866194,,,RATE;LOWCORR,19.688
anim_codelab_tinyorchestra_conducting,v1.1,1.1,2fa8bc4f5012,185,6.072,0,0,0,0,0,0,0.048913,4,19014.4,1.11599,0.0421859,0,0.0307447,0.945568,0.961216,0.913542,,,,1.957
anim_codelab_tinyorchestra_takataka_01,v1.1,1.1,2fa8bc4f5012,20,0.627,0,0,0,0,0,0,0.105263,4,26069.7,0.494644,0.0805116,0,0.031992,0.955558,0.988127,,,,SHORT;RATE,14.211
anim_codelab_vampirebite_01,v1.1,1.1,2fa8bc4f5012,99,3.234,0,0,0.050505,0,0,0.050505,0.102041,4,52056.3,1.05771,0.451673,0,0.066,0.931486,0.668728,0.944009,,,SAT;RATE,9.132
anim_codelab_zombiecrawl_01,v1.1,1.1,2fa8bc4f5012,131,4.29,0,0,0,0,0,0,0,3.96523,11180.6,0.682308,0.0805116,0,0.066,0.998625,,,,,,0
anim_cozmosays_app_getin,v1.1,1.1,2fa8bc4f5012,35,1.122,0,0,0,0,0,0,0,3.33444,18686.5,0.36931,0.0805116,0,0.066,0.944206,0.582411,,,,,0
anim_cozmosays_app_getout_01,v1.1,1.1,2fa8bc4f5012,31,0.99,0,0,0,0,0,0,0.166667,4,21047,0.864201,0,0,0,0.983331,-0.801428,0.975284,4.59728,11.1585,RATE;LOWCORR;DYN,46.667
anim_cozmosays_app_getout_02,v1.1,1.1,2fa8bc4f5012,31,0.99,0,0,0,0,0,0,0.166667,4,17052.9,0.804068,0,0,0,0.983331,-0.801428,0.982563,,,RATE;LOWCORR,21.667
